Day,Month,Year,Hour,Min,Sec,mode,Time,BBBV,BBBVs,style,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,Lcl,Rcl,Dcl,Leff,Reff,Deff,Openings,Islands,Path,GZiNi,HZiNi
14,10,2022,16,3,49,BEG,3.54,12,3.38,NF,25,17,7,3,2,0,0,0,0,17,0,0,16,0,0,2,3,856,9,9
14,10,2022,16,4,44,BEG,5.60,18,3.21,NF,17,22,14,1,0,0,0,0,0,29,0,0,26,0,0,3,4,1249,13,13
14,10,2022,16,4,48,BEG,2.89,8,2.76,NF,22,18,12,2,0,0,0,0,0,14,0,0,10,0,0,3,4,859,8,8
14,10,2022,16,4,52,BEG,2.36,7,2.96,NF,23,17,10,4,0,0,0,0,0,9,0,0,8,0,0,2,3,759,7,7
14,10,2022,16,5,59,BEG,7.36,29,3.94,NF,13,23,17,1,0,0,0,0,0,33,0,0,29,0,0,2,1,1239,16,16
14,10,2022,16,6,5,BEG,3.48,12,3.44,NF,21,18,12,1,1,1,0,0,0,14,0,0,13,0,0,2,4,989,12,12
14,10,2022,16,6,30,BEG,4.23,19,4.49,NF,18,18,16,2,0,0,0,0,0,20,0,0,19,0,0,2,2,857,16,17
14,10,2022,16,6,58,BEG,7.07,24,3.39,NF,10,26,13,5,0,0,0,0,0,36,0,0,31,0,0,4,3,1443,20,22
14,10,2022,16,7,17,BEG,6.38,29,4.54,NF,14,26,10,3,0,1,0,0,0,31,0,0,29,0,0,1,2,1245,18,19
14,10,2022,16,11,45,BEG,4.03,14,3.47,NF,18,16,17,3,0,0,0,0,0,19,0,0,16,0,0,3,3,912,14,14
14,10,2022,16,12,10,BEG,2.68,8,2.98,NF,22,20,9,3,0,0,0,0,0,12,0,0,10,0,0,1,2,712,7,7
14,10,2022,16,12,45,BEG,3.58,12,3.35,NF,26,17,6,3,2,0,0,0,0,15,0,0,13,0,0,2,1,622,9,10
14,10,2022,16,12,55,BEG,5.80,21,3.62,NF,15,20,14,4,1,0,0,0,0,26,0,0,24,0,0,3,2,1199,17,18
14,10,2022,16,13,11,BEG,5.00,19,3.79,NF,20,15,8,9,1,1,0,0,0,25,0,0,22,0,0,2,3,904,16,16
14,10,2022,16,13,24,BEG,4.23,13,3.07,NF,23,19,8,1,2,1,0,0,0,18,0,0,14,0,0,2,2,904,11,12
14,10,2022,16,13,45,BEG,4.10,13,3.17,NF,19,22,10,3,0,0,0,0,0,17,0,0,15,0,0,2,6,863,11,11
14,10,2022,16,14,7,BEG,3.23,13,4.02,NF,20,24,6,3,1,0,0,0,0,14,0,0,13,0,0,1,5,800,11,13
14,10,2022,16,14,28,BEG,4.69,15,3.19,NF,15,28,4,5,2,0,0,0,0,21,0,0,20,0,0,4,5,1123,13,13
14,10,2022,16,16,25,BEG,3.91,17,4.34,NF,17,17,16,4,0,0,0,0,0,21,0,0,18,0,0,3,1,797,12,13
14,10,2022,16,18,36,BEG,5.82,21,3.60,NF,13,28,10,3,0,0,0,0,0,26,0,0,25,0,0,3,2,1200,16,17
14,10,2022,16,18,52,BEG,4.83,15,3.10,NF,18,21,9,5,1,0,0,0,0,22,0,0,17,0,0,4,2,902,14,15
14,10,2022,16,18,58,BEG,4.47,10,2.23,NF,18,18,15,3,0,0,0,0,0,19,0,0,17,0,0,6,3,985,10,10
14,10,2022,16,19,3,BEG,4.32,19,4.39,NF,16,21,15,2,0,0,0,0,0,19,0,0,19,0,0,3,3,795,15,17
15,10,2022,15,52,56,BEG,4.60,10,2.17,NF,20,21,10,1,2,0,0,0,0,17,0,0,13,0,0,3,4,931,10,10
